Step Size,Acceptance Probability,Dense Mass Matrix,Autocorrolation Length,Number Effective Samples,GR Statistic,Time per iteration,Time per Effective Sample
0.05,0.65,False,279.4749153221806,7.156277327052362,1.0163836821847683,0.01011033805211385,2.8255858709931387
0.05,0.65,True,280.50708733217425,7.129944626431545,1.0166639591487676,0.0034437006314595535,0.9659824337746887
0.05,0.75,False,1.253878496229972,1595.0508809373368,1.0010626092649249,0.01026123793919881,0.012866345596660542
0.05,0.75,True,280.89624825163247,7.120066616939504,1.0158460883022356,0.0043400119940439855,1.219093086494042
0.05,0.85,False,279.86257112463585,7.146364703086026,1.0165348735797093,0.011594350973765054,3.2448248740393133
0.05,0.85,True,280.0693470631483,7.141088523154418,1.0160518102984353,0.00523447060585022,1.4660147648017134
0.05,0.9,False,279.39278245386777,7.158381052059683,1.030313185828969,0.012543027242024739,3.5044312815439547
0.05,0.9,True,280.0224923101766,7.142283405522407,1.0304069131979874,0.0034693957169850665,0.9715088354804103
0.1,0.65,False,279.7772223314102,7.14854477192178,1.0154000481762393,0.009007835626602173,2.520187230828674
0.1,0.65,True,280.4285067650196,7.131942551317961,1.0153082933235253,0.005371490001678467,1.506318920273925
0.1,0.75,False,1.2453961143628036,1605.9147583122844,1.0012449253384823,0.010460773706436157,0.013027806927224174
0.1,0.75,True,1.0421076172653607,1919.1875837624964,1.0009135523962238,0.003842493693033854,0.004004291946804686
0.1,0.85,False,1.3475894335374,1484.1315538888082,1.0008966955821685,0.01090779670079549,0.014699231577166114
0.1,0.85,True,1.0927051058806625,1830.3199914016195,1.0010368932115359,0.0038562060197194414,0.00421369600707518
0.1,0.9,False,1.472428437362088,1358.3003080157,1.001743050127939,0.011978900591532388,0.017638073879305827
0.1,0.9,True,1.0191047898289136,1962.506721547014,1.0007625059803213,0.0033677093187967936,0.00343204869753728
0.5,0.65,False,276.9922557580758,7.2204184717236055,1.0154038711872164,0.008488504330317179,2.3512499624667504
0.5,0.65,True,281.53456975602813,7.1039233360690215,1.016772374148305,0.005382728576660156,1.5154241739434948
0.5,0.75,False,279.69453867307175,7.150658033898017,1.030907967949564,0.009798869689305623,2.740690337267882
0.5,0.75,True,280.28477132398564,7.135599949125199,1.0305037896176703,0.0033141628901163737,0.9289093877867072
0.5,0.85,False,279.1317554751379,7.165075133051778,1.0161761632966861,0.01065972336133321,2.9754672947282765
0.5,0.85,True,280.7225475465927,7.124472250195905,1.0160808646101025,0.003131547609965006,0.8790960228328202
0.5,0.9,False,1.2139936435869134,1647.455083941561,1.0016177757956608,0.01172271466255188,0.014231301085921091
0.5,0.9,True,1.063173836955989,1881.1599105243893,1.0007292813494904,0.0032379676500956214,0.0034425224904915293
1.0,0.65,False,1.1794975529591467,1695.6372609526493,1.0011087101861098,0.009210954666137696,0.010864298489127046
1.0,0.65,True,1.1181725549153083,1788.6327036094017,1.0008643988988721,0.003500502347946167,0.003914165653890001
1.0,0.75,False,1.429893627498053,1398.7054432150221,1.0008323128991663,0.00975024930636088,0.013941819349682734
1.0,0.75,True,0.9214936289116493,2170.3893952713975,1.000475155786211,0.003442994276682536,0.003172697290342229
1.0,0.85,False,278.7530820861142,7.174808561873218,1.0161437996619,0.010879130601882935,3.0325911856922305
1.0,0.85,True,278.70960923301726,7.175927681517019,1.0156935622577656,0.004124951680501302,1.1496636709775956
1.0,0.9,False,278.86560303341344,7.171913560670879,1.030628278277062,0.012563228686650593,3.503452343749496
1.0,0.9,True,280.7973071943196,7.122575426323245,1.0309268265119311,0.003493313948313395,0.9809131498707578
5.0,0.65,False,278.89320141048455,7.171203851098298,1.015288412536636,0.008944677352905274,2.49460970253561
5.0,0.65,True,280.19028988133573,7.138006105946877,1.0165038947334237,0.0037478923002878823,1.050123030061688
5.0,0.75,False,1.2463371910840448,1604.7021739441402,1.0008948242450142,0.009700370311737061,0.012089932286805428
5.0,0.75,True,0.9715361105603372,2058.595638659784,1.0011993851269076,0.0033370567162831623,0.003242071102856994
5.0,0.85,False,279.4354827272584,7.15728718658142,1.015619688500578,0.011259950002034504,3.1464295643033053
5.0,0.85,True,280.6005445250898,7.127569917531542,1.016590407904353,0.003251145044962565,0.9122730699465433
5.0,0.9,False,1.3093656173809993,1527.4572460520321,1.0017129174703399,0.011991809050242105,0.015701662460585308
5.0,0.9,True,1.1371736428323571,1758.7463555861198,1.0014895394905203,0.005422963301340738,0.006166850932331833
